"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Purchasing","0","Checkout","2","0","Añadir servicio y producto y completar checkout","0"
"0","Authentication","0","Register","2","0","Registro con datos válidos (data-driven)","0"
"0","Purchasing","0","Checkout","1","0","Comprar producto por agotarse","0"
"0","Authentication","0","Login","1","0","Login con credenciales válidas (data-driven)","0"
"0","Purchasing","0","Checkout","2","0","Añadir producto y completar checkout","0"
"0","Authentication","0","Register","1","0","Registro fallido (data-driven)","0"
"2","Purchasing","0","Cart Management","0","0","Añadir múltiples productos y vaciar carrito","0"
"0","Authentication","0","Login","2","0","Login con credenciales inválidas (data-driven)","0"
